group,character,run_index,question,time_to_session_ms,retrieval_ms,synthesis_ms,postprocess_ms,total_ms,likely_throttled,error
A,GDPR single-article,0,What are the lawful bases for processing personal data under GDPR?,244.6,6200.9,1254.6,0.3,7700.5,False,
A,GDPR single-article,1,What are the lawful bases for processing personal data under GDPR?,331.0,1947.8,1075.2,0.4,3354.4,False,
A,GDPR single-article,2,What are the lawful bases for processing personal data under GDPR?,277.3,2353.0,1126.5,0.5,3757.3,False,
B,EU AI Act prohibition,0,Is it prohibited to use AI for social scoring of individuals?,330.0,2292.4,1089.4,0.4,3712.1,False,
B,EU AI Act prohibition,1,Is it prohibited to use AI for social scoring of individuals?,325.8,2968.4,1843.0,0.7,5137.9,False,
B,EU AI Act prohibition,2,Is it prohibited to use AI for social scoring of individuals?,331.4,2125.4,1043.2,0.5,3500.5,False,
C,Cross-regulation,0,Can my diagnostic AI device store patient clinical data and share it with hospitals?,224.1,2665.6,2764.8,1.1,5655.5,False,
C,Cross-regulation,1,Can my diagnostic AI device store patient clinical data and share it with hospitals?,329.7,2558.6,1947.1,0.4,4835.9,False,
C,Cross-regulation,2,Can my diagnostic AI device store patient clinical data and share it with hospitals?,327.6,2867.5,2732.9,0.7,5928.7,False,
E,UK MDR,0,What requirements apply to placing a medical device on the UK market?,258.8,1945.2,1228.5,0.2,3432.8,False,
E,UK MDR,1,What requirements apply to placing a medical device on the UK market?,432.0,1841.3,,,59417.2,False,Verdict synthesis failed. Please try again.
E,UK MDR,2,What requirements apply to placing a medical device on the UK market?,327.8,1738.4,,,59019.3,False,Verdict synthesis failed. Please try again.
G,Scenario,0,Can my elderly-care assistant store fall-risk predictions and share them with caregivers?,426.0,2241.0,,,59091.5,False,Verdict synthesis failed. Please try again.
G,Scenario,1,Can my elderly-care assistant store fall-risk predictions and share them with caregivers?,246.1,2232.3,,,59004.7,False,Verdict synthesis failed. Please try again.
G,Scenario,2,Can my elderly-care assistant store fall-risk predictions and share them with caregivers?,328.9,,,,56864.8,False,Could not understand the question. Please try rephrasing.
